,TEXT,label,Contains URL,Contains Monetary Characters,Classification
39,"hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!
",0,0,0,not spam
40,"pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola
",0,0,0,not spam
41,"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy
",0,0,0,not spam
42,"07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow
",1,0,1,spam
43,"who are you seeing?
",0,0,0,not spam
44,"great! i hope you like your man well endowed. i am  &lt;#&gt;  inches...
",0,0,0,not spam
45,"no calls..messages..missed calls
",0,0,0,not spam
46,"didn't you get hep b immunisation in nigeria.
",0,0,0,not spam
47,"fair enough, anything going on?
",0,0,0,not spam
48,"yeah hopefully, if tyler can't do it i could maybe ask around a bit
",0,0,0,not spam
49,"u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.
",0,0,0,not spam
50,"what you thinked about me. first time you saw me in class.
",0,0,0,not spam
51,"a gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",0,0,0,not spam
52,"k fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",0,0,0,not spam
53,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.
",0,1,0,not spam
54,"sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv
",1,0,0,spam
55,"do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;
",0,0,0,not spam
56,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out! 
",1,0,1,spam
57,"sorry, i'll call later in meeting.
",0,0,0,not spam
58,"tell where you reached
",0,0,0,not spam
59,"yes..gauti and sehwag out of odi series.
",0,0,0,not spam
60,"your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.
",0,0,0,not spam
61,"ha ha ha good joke. girls are situation seekers.
",0,0,0,not spam
62,"its a part of checking iq
",0,0,0,not spam
63,"sorry my roommates took forever, it ok if i come by now?
",0,1,0,not spam
64,"ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.
",0,0,0,not spam
65,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589
",1,0,1,spam
66,"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...
",0,0,0,not spam
67,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj
",1,1,1,spam
68,"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!
",1,1,0,spam
69,"i plane to give on this month end.
",0,0,0,not spam
70,"wah lucky man... then can save money... hee...
",0,0,1,not spam
71,"finished class where are you.
",0,0,0,not spam
72,"hi babe im at home now wanna do something? xx
",0,0,0,not spam
73,"k..k:)where are you?how did you performed?
",0,0,0,not spam
74,"u can call me now...
",0,0,0,not spam
75,"i am waiting machan. call me once you free.
",0,0,1,not spam
76,"thats cool. i am a gentleman and will treat you with dignity and respect.
",0,0,0,not spam
77,"i like you peoples very much:) but am very shy pa.
",0,0,0,not spam
78,"does not operate after  &lt;#&gt;  or what
",0,0,0,not spam
79,"its not the same here. still looking for a job. how much do ta's earn there.
",0,0,0,not spam
80,"sorry, i'll call later
",0,0,0,not spam
81,"k. did you call me just now ah? 
",0,0,0,not spam
82,"ok i am on the way to home hi hi
",0,0,0,not spam
83,"you will be in the place of that man
",0,0,0,not spam
84,"yup next stop.
",0,0,0,not spam
85,"i call you later, don't have network. if urgnt, sms me.
",0,0,0,not spam
86,"for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.
",0,0,0,not spam
87,"yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.
",0,0,1,not spam
88,"i'm really not up to it still tonight babe
",0,0,0,not spam
89,"ela kano.,il download, come wen ur free..
",0,1,1,not spam
90,"yeah do! don‘t stand to close tho- you‘ll catch something!
",0,0,0,not spam
91,"sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry. 
",0,0,0,not spam
92,"smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!
",0,0,0,not spam
93,"please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
",1,0,1,spam
94,"havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?
",0,0,0,not spam
95,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16
",1,0,1,spam
96,"watching telugu movie..wat abt u?
",0,0,0,not spam
97,"i see. when we finish we have loads of loans to pay
",0,0,0,not spam
98,"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?""
",0,0,0,not spam
99,"i see a cup of coffee animation
",0,0,0,not spam
100,"please don't text me anymore. i have nothing else to say.
",0,0,0,not spam
101,"okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx
",0,0,0,not spam
102,"i'm still looking for a car to buy. and have not gone 4the driving test yet.
",0,0,0,not spam
103,"as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
",0,0,0,not spam
104,"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.
",0,0,0,not spam
105,"umma my life and vava umma love you lot dear
",0,0,0,not spam
106,"thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.
",0,0,0,not spam
107,"aight, i'll hit you up when i get some cash
",0,0,1,not spam
108,"how would my ip address test that considering my computer isn't a minecraft server
",0,1,0,not spam
109,"i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...
",0,0,0,not spam
110,"dont worry. i guess he's busy.
",0,0,0,not spam
111,"what is the plural of the noun research?
",0,0,0,not spam
112,"going for dinner.msg you after.
",0,0,0,not spam
113,"i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.
",0,0,0,not spam
114,"gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
",1,0,1,spam
115,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?
",0,0,0,not spam
116,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.
",0,0,0,not spam
117,"you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
",1,1,1,spam
118,"goodo! yes we must speak friday - egg-potato ratio for tortilla needed! 
",0,0,0,not spam
119,"hmm...my uncle just informed me that he's paying the school directly. so pls buy food.
",0,0,0,not spam
120,"private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
",1,0,1,spam
121,"urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm
",1,1,1,spam
122,"here is my new address -apples&pairs&all that malarky
",0,0,0,not spam
123,"todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app
",1,0,1,spam
124,"i am going to sao mu today. will be done only at 12 
",0,0,0,not spam
125,"ü predict wat time ü'll finish buying?
",0,0,0,not spam
126,"good stuff, will do.
",0,0,0,not spam
127,"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise.
",0,0,1,not spam
128,"are you there in room.
",0,0,0,not spam
129,"hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx
",0,0,0,not spam
130,"k..k:)how much does it cost?
",0,0,0,not spam
131,"i'm home.
",0,0,0,not spam
132,"dear, will call tmorrow.pls accomodate.
",0,1,0,not spam
133,"first answer my question.
",0,0,0,not spam
134,"sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
",1,0,1,spam
135,"want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p
",1,0,1,spam
136,"i only haf msn. it's yijue@hotmail.com
",0,1,0,not spam
137,"he is there. you call and meet him
",0,0,0,not spam
138,"no no. i will check all rooms befor activities
",0,0,0,not spam
139,"you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again
",1,0,1,spam
140,"got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...
",0,0,0,not spam
141,"k, text me when you're on the way
",0,0,0,not spam
142,"sir, waiting for your mail.
",0,0,0,not spam
143,"a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8
",0,0,0,not spam
144,"i know you are. can you pls open the back?
",0,0,0,not spam
145,"yes see ya not on the dot
",0,0,0,not spam
146,"whats the staff name who is taking class for us?
",0,0,0,not spam
147,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end
",1,0,1,spam
148,"ummma.will call after check in.our life will begin from qatar so pls pray very hard.
",0,0,0,not spam
149,"k..i deleted my contact that why?
",0,0,0,not spam
150,"sindu got job in birla soft ..
",0,0,0,not spam
151,"the wine is flowing and i'm i have nevering..
",0,0,0,not spam
152,"yup i thk cine is better cos no need 2 go down 2 plaza mah.
",0,0,0,not spam
153,"ok... ur typical reply...
",0,0,0,not spam
154,"as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
",0,0,0,not spam
155,"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
",0,1,0,not spam
156,"aaooooright are you at work?
",0,0,0,not spam
157,"i'm leaving my house now...
",0,0,0,not spam
158,"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?
",0,0,0,not spam
159,"customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery
",1,0,0,spam
160,"you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
",1,0,1,spam
161,"keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life
",0,0,0,not spam
162,"new car and house for my parents.:)i have only new job in hand:)
",0,0,0,not spam
163,"i'm so in love with you. i'm excited each day i spend with you. you make me so happy.
",0,0,0,not spam
164,"-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468
",1,1,0,spam
165,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu
",1,1,0,spam
166,"i place all ur points on e cultures module already.
",0,0,0,not spam
167,"urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only
",1,0,1,spam
168,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?
",0,0,0,not spam
169,"great escape. i fancy the bridge but needs her lager. see you tomo 
",0,0,0,not spam
170,"yes :)it completely in out of form:)clark also utter waste.
",0,1,0,not spam
171,"sir, i need axis bank account no and bank address.
",0,0,1,not spam
172,"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao... 
",0,0,1,not spam
173,"what time you coming down later? 
",0,1,0,not spam
174,"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m... 
",0,0,0,not spam
175,"well, i'm gonna finish my bath now. have a good...fine night.
",0,0,0,not spam
176,"let me know when you've got the money so carlos can make the call
",0,0,1,not spam
177,"u still going to the mall?
",0,0,0,not spam
178,"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
",0,0,1,not spam
179,"text her. if she doesnt reply let me know so i can have her log in
",0,0,0,not spam
180,"hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.
",0,0,1,not spam
181,"you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend
",0,0,1,not spam
182,"lol no. u can trust me.
",0,0,0,not spam
183,"ok. i am a gentleman and will treat you with dignity and respect.
",0,0,0,not spam
184,"he will, you guys close?
",0,0,0,not spam
185,"going on nothing great.bye
",0,0,0,not spam
186,"hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?
",0,0,0,not spam
187,"haha awesome, be there in a minute
",0,0,0,not spam
188,"please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!
",1,0,1,spam
189,"have you got xmas radio times. if not i will get it now
",0,0,0,not spam
190,"i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...
",0,0,0,not spam
191,"are you unique enough? find out from 30th august. www.areyouunique.co.uk
",1,1,0,spam
192,"i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|
",0,0,0,not spam
193,"hi :)finally i completed the course:)
",0,1,0,not spam
194,"it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.
",0,0,0,not spam
195,"how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day
",0,0,0,not spam
196,"gud mrng dear hav a nice day
",0,0,0,not spam
197,"did u got that persons story
",0,0,0,not spam
198,"is your hamster dead? hey so tmr i meet you at 1pm orchard mrt? 
",0,0,0,not spam
199,"hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx
",0,0,1,not spam
200,"found it, enc  &lt;#&gt; , where you at?
",0,0,0,not spam
201,"i sent you  &lt;#&gt;  bucks
",0,0,0,not spam
202,"hello darlin ive finished college now so txt me when u finish if u can love kate xxx
",0,0,1,not spam
203,"your account has been refilled successfully by inr  &lt;decimal&gt; . your keralacircle prepaid account balance is rs  &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .
",0,0,1,not spam
204,"goodmorning sleeping ga.
",0,0,0,not spam
205,"u call me alter at 11 ok.
",0,0,0,not spam
206,"ü say until like dat i dun buy ericsson oso cannot oredi lar...
",0,0,0,not spam
207,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.
",0,0,0,not spam
208,"aight yo, dats straight dogg
",0,0,0,not spam
209,"you please give us connection today itself before  &lt;decimal&gt;  or refund the bill
",0,0,0,not spam
210,"both :) i shoot big loads so get ready!
",0,0,0,not spam
211,"what's up bruv, hope you had a great break. do have a rewarding semester.
",0,0,0,not spam
212,"home so we can always chat
",0,0,0,not spam
213,"k:)k:)good:)study well.
",0,0,0,not spam
214,"yup... how ü noe leh...
",0,0,0,not spam
215,"sounds great! are you home now?
",0,0,0,not spam
216,"finally the match heading towards draw as your prediction.
",0,0,0,not spam
217,"tired. i haven't slept well the past few nights.
",0,0,0,not spam
218,"easy ah?sen got selected means its good..
",0,0,0,not spam
219,"i have to take exam with march 3
",0,0,0,not spam
220,"yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready.
",0,0,0,not spam
221,"ok no prob. take ur time.
",0,0,0,not spam
222,"there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
",0,0,0,not spam
223,"sorry, i'll call later
",0,0,0,not spam
224,"u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh.
",0,0,0,not spam
225,"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
",1,1,1,spam
226,"would really appreciate if you call me. just need someone to talk to.
",0,0,0,not spam
227,"will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries
",1,0,1,spam
228,"hey company elama po mudyadhu.
",0,1,0,not spam
229,"life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . .
",0,0,0,not spam
230,"dear good morning now only i am up
",0,0,0,not spam
231,"get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.
",0,0,0,not spam
232,"dear we are going to our rubber place
",0,0,0,not spam
233,"sorry battery died, yeah i'm here
",0,0,0,not spam
234,"yes:)here tv is always available in work place..
",0,0,0,not spam
235,"text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence
",1,0,0,spam
236,"i have printed it oh. so  &lt;#&gt;  come upstairs
",0,1,0,not spam
237,"or ill be a little closer like at the bus stop on the same street
",0,0,0,not spam
238,"where are you?when wil you reach here?
",0,0,0,not spam
239,"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!
",0,0,0,not spam
240,"u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597
",1,0,0,spam
241,"tomarrow final hearing on my laptop case so i cant.
",0,0,0,not spam
242,"pleassssssseeeeee tel me v avent done sportsx
",0,0,0,not spam
243,"okay. no no, just shining on. that was meant to be signing, but that sounds better.
",0,0,0,not spam
244,"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched...
",0,0,0,not spam
245,"u don't remember that old commercial?
",0,1,0,not spam
246,"too late. i said i have the website. i didn't i have or dont have the slippers
",0,0,0,not spam
247,"i asked you to call him now ok
",0,0,0,not spam
248,"kallis wont bat in 2nd innings.
",0,0,0,not spam
249,"it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.
",0,0,0,not spam
250,"congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16
",1,1,1,spam
251,"ranjith cal drpd deeraj and deepak 5min hold
",0,0,0,not spam
252,"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.
",0,0,0,not spam
253,"what you doing?how are you?
",0,0,0,not spam
254,"ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
",0,1,0,not spam
255,"i'm back, lemme know when you're ready
",0,0,0,not spam
256,"don't necessarily expect it to be done before you get back though because i'm just now headin out
",0,0,0,not spam
257,"mmm so yummy babe ... nice jolt to the suzy
",0,0,0,not spam
258,"where are you lover ? i need you ...
",0,0,0,not spam
259,"we tried to contact you re your reply to our offer of a video handset? 750 anytime networks mins? unlimited text? camcorder? reply or call 08000930705 now
",1,0,0,spam
260,"i‘m parked next to a mini!!!! when are you coming in today do you think?
",0,1,0,not spam
261,"yup
",0,0,0,not spam
262,"anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao.
",0,0,0,not spam
263,"my no. in luton 0125698789 ring me if ur around! h*
",0,0,0,not spam
264,"hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
",1,0,0,spam
265,"why you dint come with us.
",0,1,0,not spam
266,"same. wana plan a trip sometme then
",0,0,0,not spam
267,"not sure yet, still trying to get a hold of him
",0,0,0,not spam
268,"ur ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? txt club stop to 87070. 150p/wk club4 po box1146 mk45 2wt
",1,1,1,spam
269,"the evo. i just had to download flash. jealous?
",0,0,0,not spam
270,"ringtone club: get the uk singles chart on your mobile each week and choose any top quality ringtone! this message is free of charge.
",1,0,1,spam
271,"come to mu, we're sorting out our narcotics situation
",0,0,0,not spam
272,"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay.
",0,1,0,not spam
273,"hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com
",1,1,1,spam
274,"usf i guess, might as well take 1 car
",0,0,0,not spam
275,"no objection. my bf not coming.
",0,1,0,not spam
276,"thanx...
",0,0,0,not spam
277,"tell rob to mack his gf in the theater
",0,0,0,not spam
278,"awesome, i'll see you in a bit
",0,0,0,not spam
279,"just sent it. so what type of food do you like?
",0,0,0,not spam
280,"all done? all handed in? celebrations in full swing yet?
",0,0,0,not spam
281,"you got called a tool?
",0,0,0,not spam
282,"""wen u miss someone, the person is definitely special for u..... but if the person is so special, why to miss them, just keep-in-touch"" gdeve..
",0,0,0,not spam
283,"ok. i asked for money how far
",0,0,1,not spam
284,"okie...
",0,0,0,not spam
285,"yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i'll throw down
",0,0,0,not spam
286,"k, i might come by tonight then if my class lets out early
",0,1,0,not spam
287,"ok..
",0,0,0,not spam
288,"hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
",0,0,0,not spam
289,"my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world:-).. ge:-)..
",0,0,0,not spam
290,"dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
",0,0,0,not spam
291,"hey you told your name to gautham ah?
",0,0,0,not spam
292,"haf u found him? i feel so stupid da v cam was working.
",0,0,0,not spam
293,"oops. 4 got that bit.
",0,0,0,not spam
294,"are you this much buzy
",0,0,0,not spam
295,"i accidentally deleted the message. resend please.
",0,0,0,not spam
296,"t-mobile customer you may now claim your free camera phone upgrade & a pay & go sim card for your loyalty. call on 0845 021 3680.offer ends 28thfeb.t&c's apply
",1,0,1,spam
297,"unless it's a situation where you go gurl would be more appropriate
",0,0,0,not spam
298,"hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl
",0,0,0,not spam
299,"i cant pick the phone right now. pls send a message
",0,0,0,not spam
300,"need a coffee run tomo?can't believe it's that time of week already
",0,0,0,not spam
301,"awesome, i remember the last time we got somebody high for the first time with diesel :v
",0,0,0,not spam
302,"shit that is really shocking and scary, cant imagine for a second. def up for night out. do u think there is somewhere i could crash for night, save on taxi?
",0,0,1,not spam
303,"oh and by the way you do have more food in your fridge! want to go out for a meal tonight? 
",0,0,0,not spam
304,"he is a womdarfull actor
",0,0,0,not spam
305,"sms. ac blind date 4u!: rodds1 is 21/m from aberdeen, united kingdom. check him out http://img. sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide
",1,1,0,spam
306,"yup... from what i remb... i think should be can book... 
",0,0,0,not spam
307,"jos ask if u wana meet up?
",0,0,0,not spam
308,"lol yes. our friendship is hanging on a thread cause u won't buy stuff.
",0,0,0,not spam
